Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Algeria,4.68E+07,2.69E+11,Arid,9,0.9,0.87985402,0.839343574,0.81885564,0.813589188,0.831861422,0.88926736,0.964342149,1.038573036,1.04799835,1.062901222,1.034918121,1.008227425,0.987817582,0.987106694,0.970050596,0.959770707,0.96958205,1.047201042,1.191254062,1.24816601,1.236047893,1.180882287,1.04061147,0.951778101
Argentina,4.57E+07,6.38E+11,Temperate,15,3,0.92032147,0.870723307,0.854190586,0.843168772,0.843168772,0.859701493,0.898277842,0.931343284,0.969919633,1.014006889,1.041561424,1.058094145,1.063605052,1.058094145,1.052583238,1.041561424,1.036050517,1.036050517,1.069115959,1.113203215,1.157290471,1.135246843,1.102181401,1.03053961
Belize,4.17E+05,3.20E+09,Tropical,7,2,0.885944839,0.86787908,0.850535951,0.838973865,0.807178128,0.803564977,0.867156449,0.982777309,1.033361436,1.062266651,1.086836083,1.091894496,1.0991208,1.107069734,1.095507648,1.072383476,1.026135132,1.018908828,1.105624473,1.127303384,1.105624473,1.069492954,1.026135132,0.968324702
Brazil,2.12E+08,2.19E+12,Diverse ,12,10,0.879489059,0.860642865,0.848078735,0.848078735,0.860642865,0.885771123,0.923463512,0.9611559,0.986284159,1.011412418,1.016438069,1.011412418,1.030258612,1.05538687,1.074233065,1.093079259,1.086797194,1.099361323,1.143335776,1.118207518,1.103130562,1.080515129,1.036540676,0.986284159
Cameroon,2.91E+07,5.33E+10,Tropical,13,0.24,0.896191187,0.873146271,0.850101355,0.837298624,0.868025179,0.955083751,0.926917742,0.875706817,0.937159927,0.957644297,0.965325936,0.973007575,0.988370852,0.96276539,0.996052491,0.988370852,0.970447029,1.026779046,1.287954764,1.39293716,1.308439134,1.162487997,1.026779046,0.973007575
Chile,1.98E+07,3.30E+11,Temperate,9,22,0.914522178,0.871072029,0.855554119,0.852450537,0.856588646,0.873141084,0.951765162,0.996249838,1.035561878,1.056252425,1.062459589,1.068666753,1.081081081,1.076942972,1.07383939,1.062459589,1.046941679,1.027285659,1.031423768,1.052114315,1.071770335,1.064528643,1.03452735,0.982800983
Colombia,5.29E+07,4.19E+11,Tropical,10,4,0.89339207,0.856387665,0.829955947,0.814096916,0.803524229,0.829955947,0.866960352,0.909251101,0.95154185,1.004405286,1.046696035,1.06784141,1.088986784,1.094273128,1.093215859,1.095330396,1.099559471,1.088986784,1.078414097,1.099559471,1.125991189,1.147136564,1.088986784,1.025550661
Costa Rica,5.13E+06,9.54E+10,Tropical,13,0.65,0.769633508,0.722513089,0.706806283,0.706806283,0.730366492,0.82460733,0.910994764,0.942408377,1.005235602,1.060209424,1.09947644,1.138743455,1.178010471,1.170157068,1.146596859,1.130890052,1.115183246,1.083769634,1.123036649,1.178010471,1.170157068,1.123036649,1.036649215,0.926701571
Djibouti,1.17E+06,4.15E+09,Arid,5,0,0.99350026,1.000377281,0.959229774,0.926793159,0.886791822,0.830973337,0.892522673,0.938942563,0.985133218,1.031438491,1.085652338,1.147889375,1.217805753,1.201071669,1.176772863,1.121068995,0.938369477,0.842778889,0.936306371,0.974359219,0.981350857,0.964502156,0.971723028,0.99464643
Egypt,1.17E+08,3.89E+11,Arid,14,3,0.785935884,0.785935884,0.785935884,0.785935884,0.794208893,0.802481903,0.860392968,1.07549121,1.183040331,1.050672182,0.976215098,1.058945191,1.100310238,0.943123061,0.918304033,0.943123061,1.282316443,1.737331954,1.588417787,1.116856256,0.893485005,0.868665977,0.83557394,0.827300931
El Salvador,6.34E+06,3.54E+10,Tropical,12,18,0.721847931,0.700192493,0.700192493,0.714629451,0.750721848,0.808469682,0.880654475,0.952839269,1.0466795,1.111645813,1.14773821,1.160731473,1.133301251,1.140519731,1.162175168,1.14773821,1.111645813,1.03946102,1.118864293,1.219923003,1.256015399,1.169393648,1.010587103,0.794032724
Eritrea,3.54E+06,2.07E+09,Arid,5,11,0.673159906,0.659844655,0.653926766,0.667242017,0.702749353,0.835901862,1.014918013,1.071137961,1.122919492,1.156947355,1.208728887,1.19837258,1.148070522,1.106645297,1.093330046,1.103686352,1.12144002,1.263469363,1.300456171,1.254592529,1.106645297,0.986808038,0.806312415,0.742695105
Ghana,3.44E+07,8.23E+10,Tropical,10,0.62,0.943701135,0.93035428,0.916222317,0.908371226,0.906015898,0.983741699,0.911511662,0.956262881,0.973535281,0.986882135,1.006509863,1.009650299,1.007294972,0.999443881,1.004939645,0.997088554,0.994733226,1.0528313,1.116425137,1.1305571,1.125061337,1.114069809,1.053616409,0.971179954
Guatemala,1.84E+07,1.13E+11,Tropical,14,2,0.753853696,0.707663816,0.677161065,0.677596819,0.736423552,0.854077019,0.945585272,0.984803094,1.015305845,1.067596274,1.098099025,1.111171632,1.102456561,1.105071082,1.106814097,1.110300125,1.080668882,1.041451059,1.193964813,1.420556675,1.324690887,1.132959312,0.932512664,0.819216733
Honduras,1.08E+07,3.71E+10,Tropical,15,9,0.877151615,0.826220231,0.80358406,0.769629804,0.797925018,0.837538316,0.899787786,0.945060127,1.029945768,1.080877152,1.126149493,1.177080877,1.199717048,1.09785428,1.03560481,0.995991511,0.979014383,1.029945768,1.26762556,1.244989389,1.160103749,1.063900024,0.939401085,0.814902146
Kenya,5.64E+07,1.20E+11,Diverse ,7,4,0.798498866,0.758024568,0.744965734,0.743206659,0.789852037,0.883270491,0.983133664,1.060410351,1.124792387,1.124651659,1.124495293,1.088855186,1.07096998,1.056298013,1.067436194,1.059229794,1.025208033,1.028296179,1.226565755,1.249001088,1.177882451,1.069651301,0.932391552,0.812912765
