Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Afghanistan,33.93,67.71,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.5,1655.86,2339.59,2778.84,2998.4,3006.87,2804.55,2383.6,1721.58,709.14,0.0,0.0,0.0,0.0,0.0,0.0,20997.94,3006.87,13
Albania,41.15,20.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.76,1625.72,2193.93,2490.83,2541.67,2350.22,1901.57,1150.31,109.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15086.48,2541.67,12
Algeria,28.03,1.66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44,954.36,1769.77,2328.34,2651.15,2749.5,2626.86,2278.93,1693.45,848.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17924.53,2749.5,12
Andorra,42.55,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.6,1403.81,2058.18,2421.76,2531.62,2396.84,2006.22,1318.65,278.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14805.11,2531.62,12
Angola,-11.2,17.87,1,0.0,0.0,0.0,0.0,0.0,0.0,83.52,792.75,1572.82,2220.37,2685.53,2954.98,3026.84,2901.25,2578.11,2061.07,1369.67,574.63,0.0,0.0,0.0,0.0,0.0,0.0,22821.55,3026.84,12
Antigua and Barbuda,17.07,-61.8,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25,1015.59,1810.28,2384.83,2740.94,2883.62,2815.7,2535.75,2039.12,1321.88,403.84,0.0,0.0,0.0,0.0,0.0,0.0,20046.79,2883.62,12
Argentina,-38.42,-63.62,-4,0.0,0.0,0.0,0.0,0.0,0.0,138.19,645.76,1389.99,2062.64,2584.26,2925.53,3077.71,3039.25,2810.4,2394.53,1806.45,1090.56,364.59,64.7,0.0,0.0,0.0,0.0,24394.56,3077.71,12
Armenia,40.07,45.04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.81,1629.14,2268.95,2635.4,2762.65,2659.64,2319.23,1711.23,736.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17327.13,2762.65,12
Australia,-25.27,133.78,9,0.0,0.0,0.0,0.0,0.0,0.0,96.93,704.06,1471.45,2140.55,2644.67,2960.73,3083.52,3012.65,2748.22,2293.3,1663.58,910.41,197.69,0.0,0.0,0.0,0.0,0.0,23927.75,3083.52,12
Austria,47.52,14.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.03,1267.04,2029.3,2445.72,2592.9,2489.18,2122.05,1430.14,267.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14730.69,2592.9,12
Azerbaijan,40.14,47.58,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.7,1498.39,2111.58,2450.44,2542.41,2393.88,1994.36,1309.51,300.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15156.03,2542.41,12
Bahamas,25.03,-77.4,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.73,1649.15,2260.56,2638.99,2795.2,2733.86,2453.11,1944.81,1194.57,223.1,0.0,0.0,0.0,0.0,0.0,0.0,18682.07,2795.2,12
Bahrain,26.0,50.55,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.24,1204.5,1938.59,2429.81,2691.8,2732.37,2552.79,2147.58,1505.15,615.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18068.99,2732.37,12
Bangladesh,23.68,90.36,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.26,986.7,1789.99,2352.69,2687.14,2801.88,2700.11,2378.98,1830.23,1041.63,93.3,0.0,0.0,0.0,0.0,0.0,0.0,18716.92,2801.88,12
Barbados,13.19,-59.54,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.33,1227.37,1970.77,2502.42,2821.21,2930.51,2832.21,2524.58,2004.21,1271.69,361.78,0.0,0.0,0.0,0.0,0.0,0.0,20760.09,2930.51,12
Belarus,53.71,27.95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.64,1122.85,1679.36,1894.1,1799.69,1381.71,593.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8704.85,1894.1,12
Belgium,50.5,4.47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,850.08,1554.71,1924.15,1997.82,1784.34,1258.87,400.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9793.24,1997.82,12
Belize,17.19,-88.5,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.57,1232.17,1978.57,2503.69,2811.78,2907.88,2794.02,2467.81,1924.08,1158.98,215.08,0.0,0.0,0.0,0.0,0.0,0.0,20286.64,2907.88,12
Benin,9.31,2.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.9,1088.62,1786.38,2291.28,2586.86,2671.38,2545.15,2207.82,1662.51,932.31,156.48,0.0,0.0,0.0,0.0,0.0,0.0,18220.69,2671.38,12
Bhutan,27.51,90.43,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.93,1174.94,1984.61,2538.14,2864.85,2976.09,2875.55,2559.89,2018.23,1223.01,123.18,0.0,0.0,0.0,0.0,0.0,0.0,20415.41,2976.09,12
Bolivia,-16.29,-63.59,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.76,1283.62,1988.25,2529.34,2880.95,3037.02,2997.14,2761.26,2331.04,1718.14,965.09,221.03,0.0,0.0,0.0,0.0,0.0,23215.64,3037.02,12
Bosnia and Herzegovina,43.92,17.68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.64,1577.37,2208.52,2549.35,2640.26,2489.53,2082.99,1366.58,230.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15681.14,2640.26,12
Botswana,-22.33,24.68,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.74,1155.48,1843.93,2391.23,2758.97,2935.32,2917.82,2706.6,2305.05,1728.1,1022.26,320.81,0.0,0.0,0.0,0.0,0.0,22521.32,2935.32,12
