Country,Latitude,Longitude,UTC_Offset_h,Winter_Jan1_Hour_00_W,Winter_Jan1_Hour_01_W,Winter_Jan1_Hour_02_W,Winter_Jan1_Hour_03_W,Winter_Jan1_Hour_04_W,Winter_Jan1_Hour_05_W,Winter_Jan1_Hour_06_W,Winter_Jan1_Hour_07_W,Winter_Jan1_Hour_08_W,Winter_Jan1_Hour_09_W,Winter_Jan1_Hour_10_W,Winter_Jan1_Hour_11_W,Winter_Jan1_Hour_12_W,Winter_Jan1_Hour_13_W,Winter_Jan1_Hour_14_W,Winter_Jan1_Hour_15_W,Winter_Jan1_Hour_16_W,Winter_Jan1_Hour_17_W,Winter_Jan1_Hour_18_W,Winter_Jan1_Hour_19_W,Winter_Jan1_Hour_20_W,Winter_Jan1_Hour_21_W,Winter_Jan1_Hour_22_W,Winter_Jan1_Hour_23_W,Winter_Jan1_Daily_Wh,Winter_Jan1_Peak_W,Spring_Apr1_Hour_00_W,Spring_Apr1_Hour_01_W,Spring_Apr1_Hour_02_W,Spring_Apr1_Hour_03_W,Spring_Apr1_Hour_04_W,Spring_Apr1_Hour_05_W,Spring_Apr1_Hour_06_W,Spring_Apr1_Hour_07_W,Spring_Apr1_Hour_08_W,Spring_Apr1_Hour_09_W,Spring_Apr1_Hour_10_W,Spring_Apr1_Hour_11_W,Spring_Apr1_Hour_12_W,Spring_Apr1_Hour_13_W,Spring_Apr1_Hour_14_W,Spring_Apr1_Hour_15_W,Spring_Apr1_Hour_16_W,Spring_Apr1_Hour_17_W,Spring_Apr1_Hour_18_W,Spring_Apr1_Hour_19_W,Spring_Apr1_Hour_20_W,Spring_Apr1_Hour_21_W,Spring_Apr1_Hour_22_W,Spring_Apr1_Hour_23_W,Spring_Apr1_Daily_Wh,Spring_Apr1_Peak_W,Summer_Jul1_Hour_00_W,Summer_Jul1_Hour_01_W,Summer_Jul1_Hour_02_W,Summer_Jul1_Hour_03_W,Summer_Jul1_Hour_04_W,Summer_Jul1_Hour_05_W,Summer_Jul1_Hour_06_W,Summer_Jul1_Hour_07_W,Summer_Jul1_Hour_08_W,Summer_Jul1_Hour_09_W,Summer_Jul1_Hour_10_W,Summer_Jul1_Hour_11_W,Summer_Jul1_Hour_12_W,Summer_Jul1_Hour_13_W,Summer_Jul1_Hour_14_W,Summer_Jul1_Hour_15_W,Summer_Jul1_Hour_16_W,Summer_Jul1_Hour_17_W,Summer_Jul1_Hour_18_W,Summer_Jul1_Hour_19_W,Summer_Jul1_Hour_20_W,Summer_Jul1_Hour_21_W,Summer_Jul1_Hour_22_W,Summer_Jul1_Hour_23_W,Summer_Jul1_Daily_Wh,Summer_Jul1_Peak_W,Autumn_Oct1_Hour_00_W,Autumn_Oct1_Hour_01_W,Autumn_Oct1_Hour_02_W,Autumn_Oct1_Hour_03_W,Autumn_Oct1_Hour_04_W,Autumn_Oct1_Hour_05_W,Autumn_Oct1_Hour_06_W,Autumn_Oct1_Hour_07_W,Autumn_Oct1_Hour_08_W,Autumn_Oct1_Hour_09_W,Autumn_Oct1_Hour_10_W,Autumn_Oct1_Hour_11_W,Autumn_Oct1_Hour_12_W,Autumn_Oct1_Hour_13_W,Autumn_Oct1_Hour_14_W,Autumn_Oct1_Hour_15_W,Autumn_Oct1_Hour_16_W,Autumn_Oct1_Hour_17_W,Autumn_Oct1_Hour_18_W,Autumn_Oct1_Hour_19_W,Autumn_Oct1_Hour_20_W,Autumn_Oct1_Hour_21_W,Autumn_Oct1_Hour_22_W,Autumn_Oct1_Hour_23_W,Autumn_Oct1_Daily_Wh,Autumn_Oct1_Peak_W
Afghanistan,33.93,67.71,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.5,1655.86,2339.59,2778.84,2998.4,3006.87,2804.55,2383.6,1721.58,709.14,0.0,0.0,0.0,0.0,0.0,0.0,20997.94,3006.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.16,1145.56,1954.21,2581.03,3003.09,3200.0,3200.0,3033.59,2632.18,2025.46,1233.18,348.64,0.0,0.0,0.0,0.0,0.0,24623.1,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64,413.56,1135.96,1816.25,2360.71,2735.24,2928.6,2938.17,2763.86,2407.83,1879.92,1210.76,484.53,72.71,0.0,0.0,0.0,0.0,23203.75,2938.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.59,1205.41,2003.1,2598.07,2979.6,3149.32,3109.89,2860.58,2398.2,1723.73,859.03,18.22,0.0,0.0,0.0,0.0,0.0,23186.74,3149.32
Albania,41.15,20.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.76,1625.72,2193.93,2490.83,2541.67,2350.22,1901.57,1150.31,109.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15086.48,2541.67,0.0,0.0,0.0,0.0,0.0,0.0,89.46,770.03,1544.36,2189.72,2646.59,2898.96,2944.26,2782.47,2414.45,1848.39,1118.81,347.67,0.0,0.0,0.0,0.0,0.0,0.0,21595.17,2944.26,0.0,0.0,0.0,0.0,0.0,71.62,348.07,959.08,1593.79,2132.3,2521.51,2739.7,2779.53,2639.98,2324.99,1848.42,1246.52,603.31,161.03,0.0,0.0,0.0,0.0,0.0,21969.84,2779.53,0.0,0.0,0.0,0.0,0.0,0.0,47.84,824.24,1640.67,2277.69,2703.22,2913.08,2908.66,2689.85,2255.2,1609.16,785.63,28.28,0.0,0.0,0.0,0.0,0.0,0.0,20683.51,2913.08
Algeria,28.03,1.66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44,954.36,1769.77,2328.34,2651.15,2749.5,2626.86,2278.93,1693.45,848.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17924.53,2749.5,0.0,0.0,0.0,0.0,0.0,0.0,2.91,663.45,1497.78,2198.19,2705.49,3006.16,3099.51,2986.32,2665.77,2139.25,1422.74,584.43,0.0,0.0,0.0,0.0,0.0,0.0,22971.99,3099.51,0.0,0.0,0.0,0.0,0.0,0.0,160.19,778.61,1472.25,2071.06,2514.91,2782.13,2866.17,2765.88,2482.67,2023.86,1413.27,716.56,129.26,0.0,0.0,0.0,0.0,0.0,22176.82,2866.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.12,1555.15,2233.8,2704.72,2961.98,3007.1,2840.63,2460.85,1868.79,1083.24,217.31,0.0,0.0,0.0,0.0,0.0,0.0,21641.71,3007.1
Andorra,42.55,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.6,1403.81,2058.18,2421.76,2531.62,2396.84,2006.22,1318.65,278.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14805.11,2531.62,0.0,0.0,0.0,0.0,0.0,0.0,16.24,622.12,1420.0,2108.22,2612.77,2913.86,3008.18,2895.86,2576.92,2055.56,1354.38,556.42,0.67,0.0,0.0,0.0,0.0,0.0,22141.17,3008.18,0.0,0.0,0.0,0.0,0.0,43.74,206.04,849.1,1531.32,2118.26,2554.33,2817.62,2900.99,2803.08,2525.51,2076.15,1478.72,792.9,178.07,29.69,0.0,0.0,0.0,0.0,22905.51,2900.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.26,1464.08,2149.59,2626.54,2887.66,2934.09,2766.34,2382.82,1785.15,995.11,154.2,0.0,0.0,0.0,0.0,0.0,0.0,20762.83,2934.09
Angola,-11.2,17.87,1,0.0,0.0,0.0,0.0,0.0,0.0,83.52,792.75,1572.82,2220.37,2685.53,2954.98,3026.84,2901.25,2578.11,2061.07,1369.67,574.63,0.0,0.0,0.0,0.0,0.0,0.0,22821.55,3026.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.01,1576.11,2280.14,2777.66,3063.79,3140.83,3010.0,2669.37,2117.41,1363.29,462.97,0.0,0.0,0.0,0.0,0.0,0.0,23162.57,3140.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.02,1384.54,2046.31,2512.8,2781.93,2855.13,2733.18,2414.87,1899.14,1189.94,318.21,0.0,0.0,0.0,0.0,0.0,0.0,20680.08,2855.13,0.0,0.0,0.0,0.0,0.0,0.0,104.01,937.59,1761.34,2409.92,2853.82,3088.76,3116.41,2937.19,2549.34,1954.46,1171.96,298.86,0.0,0.0,0.0,0.0,0.0,0.0,23183.66,3116.41
Antigua and Barbuda,17.07,-61.8,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25,1015.59,1810.28,2384.83,2740.94,2883.62,2815.7,2535.75,2039.12,1321.88,403.84,0.0,0.0,0.0,0.0,0.0,0.0,20046.79,2883.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.84,1302.26,2047.05,2602.85,2952.06,3093.13,3027.27,2753.83,2272.44,1592.54,760.13,25.74,0.0,0.0,0.0,0.0,0.0,22877.15,3093.13,0.0,0.0,0.0,0.0,0.0,0.0,15.38,530.16,1247.36,1891.24,2383.37,2697.58,2826.15,2767.59,2522.44,2095.17,1502.82,797.16,145.19,0.0,0.0,0.0,0.0,0.0,21421.62,2826.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.72,1403.08,2121.29,2637.54,2941.85,3035.0,2918.07,2589.72,2049.67,1310.22,439.18,0.0,0.0,0.0,0.0,0.0,0.0,21984.34,3035.0
Argentina,-38.42,-63.62,-4,0.0,0.0,0.0,0.0,0.0,0.0,138.19,645.76,1389.99,2062.64,2584.26,2925.53,3077.71,3039.25,2810.4,2394.53,1806.45,1090.56,364.59,64.7,0.0,0.0,0.0,0.0,24394.56,3077.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.09,983.2,1785.57,2390.76,2779.71,2951.91,2909.35,2651.36,2175.83,1487.29,625.33,0.0,0.0,0.0,0.0,0.0,0.0,20868.39,2951.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.07,1142.61,1828.53,2247.07,2429.58,2386.68,2116.01,1600.72,797.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14729.21,2429.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.61,1336.13,2051.36,2581.87,2907.36,3024.85,2934.79,2636.85,2133.16,1440.55,627.0,6.0,0.0,0.0,0.0,0.0,0.0,22197.55,3024.85
Armenia,40.07,45.04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.81,1629.14,2268.95,2635.4,2762.65,2659.64,2319.23,1711.23,736.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17327.13,2762.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.36,1603.83,2325.89,2849.22,3166.8,3200.0,3191.34,2898.69,2400.35,1702.01,837.65,27.2,0.0,0.0,0.0,0.0,0.0,24928.34,3200.0,0.0,0.0,0.0,0.0,0.0,6.89,176.09,763.1,1444.72,2043.93,2497.13,2779.1,2881.38,2802.12,2542.68,2110.24,1527.02,849.83,218.12,27.5,0.0,0.0,0.0,0.0,22669.86,2881.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.27,1427.28,2132.59,2630.43,2912.97,2981.51,2836.91,2477.49,1903.4,1130.5,259.31,0.0,0.0,0.0,0.0,0.0,0.0,21257.67,2981.51
Australia,-25.27,133.78,9,0.0,0.0,0.0,0.0,0.0,0.0,96.93,704.06,1471.45,2140.55,2644.67,2960.73,3083.52,3012.65,2748.22,2293.3,1663.58,910.41,197.69,0.0,0.0,0.0,0.0,0.0,23927.75,3083.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.46,1301.32,2069.79,2631.06,2978.42,3113.79,3039.28,2753.6,2254.04,1544.36,658.61,0.0,0.0,0.0,0.0,0.0,0.0,22734.72,3113.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,937.98,1727.51,2281.16,2619.65,2751.39,2679.58,2402.45,1913.31,1196.86,231.09,0.0,0.0,0.0,0.0,0.0,0.0,18749.3,2751.39,0.0,0.0,0.0,0.0,0.0,0.0,5.81,729.25,1581.55,2281.39,2781.14,3072.64,3156.87,3034.88,2705.31,2168.1,1435.93,569.92,0.0,0.0,0.0,0.0,0.0,0.0,23522.78,3156.87
Austria,47.52,14.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.03,1267.04,2029.3,2445.72,2592.9,2489.18,2122.05,1430.14,267.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14730.69,2592.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.97,1304.05,2008.79,2538.18,2866.7,2989.12,2905.27,2615.26,2122.78,1447.81,662.32,38.7,0.0,0.0,0.0,0.0,0.0,22013.94,2989.12,0.0,0.0,0.0,0.0,0.0,58.04,202.76,754.72,1411.45,1996.62,2444.66,2727.17,2833.68,2761.54,2512.45,2094.79,1532.34,881.34,264.67,88.95,0.0,0.0,0.0,0.0,22565.19,2833.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.99,1240.54,1950.64,2459.49,2752.51,2828.89,2689.13,2332.36,1761.22,999.47,185.56,0.0,0.0,0.0,0.0,0.0,0.0,19608.79,2828.89
